"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"January 11, 2017","vaterps71","-","-","Two Stars","Get the new editions.  These cards are basically rated PG","2","-","-","https://www.amazon.com/gp/customer-reviews/R1EI7JQGWW0TG7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 6, 2017","Amazon addict","-","-","If you like shocking and inappropriate games, you might like this.  I'm not a fan.","The quality of the cards is very good.  Box is sturdy.  The idea for the game is interesting.  I'm just not a fan of the game.  It's definitely a game for teens and/or 20 something age range.  Although beware, many of the cards have very adult material.  It can be a little shocking and sick.  I think the developers intended that.  Once you get past that, there is really not much substance to the game and it becomes quite boring.  I don't think the add on's are worth the extra money you spend.  The main game isn't worth the money either.  The game is very subjective as the person judging is doing so in a completely subjective fashion, usually simply based on their own personal perspectives.  I think it is a fad.  Keep in mind, the seller is good and the product quality is fine.  It's the game itself that my review is based on.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1XLFMOJT6MECJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 30, 2016","Amazon Customer","-","-","If you're wanting it in two days I wouldn't recommend buying it","Order this product on a Monday,selected the two day shipping option, and it is set to arrive on Friday, this is not two days. If you're wanting it in two days I wouldn't recommend buying it, but this is an extremely fun game if you're into crude humor. Do not buy this for your younger kids","2","-","-","https://www.amazon.com/gp/customer-reviews/R35PMPUFLEZWFS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"September 5, 2017","Cehuerta","-","-","I received my item today, and it is what ...","I received my item today, and it is what I ordered. However, the box has been cut all the way through on one side. Cards can slip out of it. I didn't pay $20+ for a card game for the box to be messed up and cards to get lost.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1YTEOWJMI54UI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"May 28, 2018","Jennifer ","-","-","Needs better cards","The cards in this box, really are not up to par. You should order a few expansion packs to go with this.","2","-","-","https://www.amazon.com/gp/customer-reviews/RD4FTJD2H1GQF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"February 13, 2019","Stacy Morris","-","-","XXX  Go thru the cards before daring to play with those you respect.","Some of the answers are demeaning to humans.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1V623CB9QT0SX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 15, 2018","Marygene","-","-","Brash","Not for kind at heart","2","-","-","https://www.amazon.com/gp/customer-reviews/R3HN0RQZNSQK7K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 25, 2017","Elvis Garcia","-","yes","Got old too fast","It got old after a couple play throughs.","2","-","-","https://www.amazon.com/gp/customer-reviews/RZUMXXM6M8KYS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"May 9, 2015","J. Butler","-","-","Worth a few laughs once or twice. We took ...","Worth a few laughs once or twice. We took it with us on a trip to try with friends. We left it there. Expensive for a few marginal laughs.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2DQ7C3B5HRF1N/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 30, 2017","Amazon Customer","-","-","Two Stars","Love the game but box came damaged and now it's hard to store.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3NGOR5AFHUWQF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 8, 2015","Daniel H.","-","-","I'm just not a fan of this game after trying ...","I'm just not a fan of this game after trying it out... gave it to my sister.  Cards looked used and damaged.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3I14IWY7B4QCM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 27, 2017","Tristan Sanders","-","-","Product was damaged when it arrived it looked like the box was dropped","Product was damaged when it arrived it looked like the box was dropped, hard to fit the cards back in","2","-","-","https://www.amazon.com/gp/customer-reviews/R3FAXB6U2LZB3W/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"April 3, 2015","Customer","-","-","Two Stars","This game is funny the first few times but definetly gets boring really fast. Definetly overpriced as well","2","-","-","https://www.amazon.com/gp/customer-reviews/R1TXY5MRE8MW52/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 29, 2015","Brittany Anderson","-","-","Two Stars","This came a week after expected. That's why rating is low.","2","-","-","https://www.amazon.com/gp/customer-reviews/R147NJP37MMJYY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"April 24, 2015","Joy","-","yes","A bit misled","My brother, (whom this was bought for) wanted a set and so I purchased them for him, and as you might imagine, I was a little upset to find that this is one box, not two as shown in the photo. Had I known that, I would have purchased one of the others that are only $10. Personally, I feel a bit cheated, but I suppose there's nothing to do but take it as it is.I had a chance to play with my brother and I think the game itself is quite fun, addictive, and plain hilarious. It let's you know how twisted you truly are. I would have rated this higher, but adding my comment above, my palate has been tainted a bit, after this experience.","2","-","-","https://www.amazon.com/gp/customer-reviews/R38QM70V7TUPOF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 13, 2015","Jack I. Johnson","-","-","Two Stars","Horrible, nasty game!","2","-","-","https://www.amazon.com/gp/customer-reviews/R3TIL94GT05WUQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 10, 2015","LtAt","-","-","Maybe it was who I was playing with, but ...","Maybe it was who I was playing with, but this game was not as exciting as I thought it was going to be.","2","-","-","https://www.amazon.com/gp/customer-reviews/R16TO7JVD0V10C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 25, 2015","Mayra","-","-","Great game..damaged cards","The game is great, but some of the cards were damaged. not happy about that.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2SPQBOM0M1B6X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 19, 2015","Drjones","-","-","Meh","Too vulgar. Could be very funny without going to that extent.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1HV36CI16CAC5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 18, 2019","Maypother ","-","-","not good","the box damage!!!!","2","-","-","https://www.amazon.com/gp/customer-reviews/R6JGXQ71OOX45/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"September 7, 2015","JOHN","-","-","Don't buy it","The game is as advertised but many of the questions seemed useless.  I would not repeat, Not recommended","2","-","-","https://www.amazon.com/gp/customer-reviews/R3V2RE2TAT4FOC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"April 30, 2017","Christina","-","-","I was happy with it but I was not happy that the ...","I was happy with it but I was not happy that the box was almost completely destroyed when I got it. Like it had been thrown around and crushed by bigger stuff.","2","-","-","https://www.amazon.com/gp/customer-reviews/RJ940M6PVP2H5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
Platinum Plan or higher is required in order to access reviews beyond 100'.
