"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"December 31, 2015","D. Perez","-","yes","Fun but WAYYYY overrated","Ok game to play a few times.  Gets old fast though.  Fun but WAYYYY overrated, don't expect too many playthroughs. Impossible to buy used or sell thanks to Amazon policy on this game.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2VTRLV1MPJD6J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 18, 2019","Di","-","-","Too profound.","Though I was aware this game was a bit ‘risky’, I didn’t care for it’s bold profanity. Just too offensive for my taste.","2","-","-","https://www.amazon.com/gp/customer-reviews/R38656MDR3CQIS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 24, 2018","JnKBos","-","-","Not really suitable for everyone.","Game isn’t for me. It is funnyish. But crude and not funny enough to overlook.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1XQZ05E5Y1UR6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 15, 2019","Enaid13","-","-","Disappointed","Everyone was speaking about this game, and I didn't like it. It is just boring, sometime funny, but really you need alcohol to play....","2","-","-","https://www.amazon.com/gp/customer-reviews/R36BURKLU2WU6V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 1, 2015","K2","-","yes","Funny until the cards go really south","Funny until the cards go really south!  I wish I would have researched this a bit more prior to purchasing.","2","-","-","https://www.amazon.com/gp/customer-reviews/R28VHJ90VPPIH0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 22, 2015","Wendy Golik","-","yes","It was good but not nearly as great as the reviews and ...","It was good but not nearly as great as the reviews and all the talk about how fun and funny it was to play!","2","-","-","https://www.amazon.com/gp/customer-reviews/R211AY1I1CK8I7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"September 21, 2016","Amazon Maineiac","-","yes","Not for the faint at heart","If you like drunken party games","2","-","-","https://www.amazon.com/gp/customer-reviews/RL17CD4T5GY5J/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"March 14, 2018","Brithia22","-","yes","It’s funny but some is not","This is a very fun game but there are a few cards that will literally turn your stomach and say “Why?!!” They are that bad. Some things you just don’t joke about or if you do then you’re sick. I’m sorry but I don’t find “dead babies” funny at all. That card will go in the trash. I get that the creator wanted to push the envelope to make this an epic fun game but some things are just not funny and ticked me off.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1OP7FSCRAXZ6Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"July 26, 2015","junni","-","-","Game for terrible people.","After a few months of this game. its just meh...the jokes get old quickly and even with the new packs. i feel this is a good game for new friends, but after a few rounds, thats it.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3LTL1OGY5NOEI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"June 11, 2018","Kevin S.","-","-","Cringy game","I've only used this game twice and most of my friends think it's cringy","2","-","-","https://www.amazon.com/gp/customer-reviews/R27JZV0DS66U0H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"December 3, 2015","Anna D. Brown","-","yes","Two Stars","Highly inappropriate.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1AC12DE3ZD2NH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 28, 2015","John W. Davenport","-","-","Definitely Not for Children!","Should be X rated.  We had to censor ours before playing a second time.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2AAZPUKCXJ6NH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 26, 2014","Mercedes Harris","-","yes","I do like the game but they send me a box with ...","I do like the game but they send me a box with a bunch of double cards. so I am pretty much playing with half of the box instead of the whole thing. I had to order another box from the company.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2QI5DAPRFAZ81/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"June 28, 2016","Isabelle Forman","-","yes","Anti-Semetic","This card game was really fun until I saw cards that promote anti-semetic jokes. NOT O.K.","2","-","-","https://www.amazon.com/gp/customer-reviews/R151DSAL8RF9RB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 17, 2014","bjsinn","-","yes","I had been telling her how funny and sick the game is","We have owned Cards against Humanity for awhile now and I sent this version to s friend as a hostess gift (old college roommate).  I had been telling her how funny and sick the game is.  Was I surprised when it was so tame.  The cards were funny but nothing like in my version at home.  It was boring because we weren't laughing as hard as usual.  Not sure if people complained so much they PG rated it or what but I was very disappointed.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2H51QBLFD7V0D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"August 23, 2015","Veronica","-","-","Name should have tipped me off. Very crude content.","These cards go too far. I bought online as a Christmas gift, but returned as soon as I saw what some of the cards said. Far too much sexual content. Not a fan of crude games. Guess the name should have tipped me off though","2","-","-","https://www.amazon.com/gp/customer-reviews/RJ7ZB1152QSFN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 17, 2015","Brenton","-","yes","I am just not into that kind of funny.","It's an ok game.  It's like apples to apples if a couple of drunk perverted college kids wrote the questions and answers.  It is very cheap and generic in appearance, the cards kind of look homemade.  I played it once and gave it away.","2","-","-","https://www.amazon.com/gp/customer-reviews/R125DUF5QCSHJY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"July 23, 2014","vinny tee","-","-","They took out some cards that a few people complained ...","They took out some cards that a few people complained about and said were offensive. That's right. The game is supposed to be offensive, and the creators caved when someone *gasp* got offended.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1VZQOQM3VW5G7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"November 27, 2016","Menthia Carpenter","-","-","Not much different from Apples to Apples","Not much different from Apples to Apples except for the crudeness.  Wanted to like this from reading the reviews but everyone that played kept saying it's like Apples to Apples but with vulgarity added.","2","-","-","https://www.amazon.com/gp/customer-reviews/RMOX1BBEG89XA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"June 26, 2015","chris romano","-","yes","Apples to Apples is kind of a lame party game to begin with","Apples to Apples is kind of a lame party game to begin with. Making the responses edgy only helps it for a little while. The shock value is minimal and wears off pretty quickly. I played a game with friends. By the time we were done, I knew I'd probably never play again.","2","-","-","https://www.amazon.com/gp/customer-reviews/RLMJYLWMQ5S3G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 6, 2015","JanelleB","-","yes","People say this is so much fun. I don't really think it is","People say this is so much fun. I don't really think it is. it's kind of lame, loaded questions is way better","2","-","-","https://www.amazon.com/gp/customer-reviews/RS5R8HH2KYS6M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"May 25, 2017","Laura Herlant","-","yes","Too crudely sexual and vulgar to be funny. Feels so forced.","We bought this game due to its popularity and because my friend group is always big into new card games or board games. We are big fans of the Apples to Apples card game, which works the same way but is not targeted to adult audiences. I was excited to try this card game since it allows for more salty content and unpolitically correct hands. However, after opening the card deck and reading the phrases, I was very disappointed at how blatantly vulgar and sexual most of the cards are. It seems far to forced and doesn't allow for the fun and nuance of making your own jokes by the choice of card play. As a result, I've had it for over 2 years now and it has never been selected as the game to play. I'm almost a little embarrassed I own it.The construction quality of the card box and the card lamination is excellent, so really the bad review is about the quality of the content, not the quality of the construction of the game.","2","-","-","https://www.amazon.com/gp/customer-reviews/R1RPWFWIAOUH3I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 11, 2015","Alex","-","yes","Mediocre at best","It is okay. I heard tons of hype about this game and it didn't live up to expectations. Some of the answer cards are just dumb and lack creativity. Reminded me of playing madlibs w a child trying to be funny.","2","-","-","https://www.amazon.com/gp/customer-reviews/R104LQ8ZFKJYVF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
"January 7, 2017","Avid reader","-","yes","Would be a great game if it wasn't so raunchy","The product itself is good quality, but the content shocked me. This game is hilarious - a total hoot to play, but the raunchy content ruins it. This would be a great game if the designers would clean it up a bit. As it is, I wouldn't even play it with my teens. Adults only.","2","-","-","https://www.amazon.com/gp/customer-reviews/R2GKZGKVUI4LB0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B004S8F7QM","-","-"
